CI_identification;Item_Name;Acronym;Level;System;SubSystem;Module;Unit;Assemblie;SubAssemblie;Component;Developed_by
300000 - 0000;Calibration and Relay System;CARS;1;3;0;0;0;0;0;0;CAB
310000 - 0000;Calibration Module;CM;2;3;1;0;0;0;0;0;CAB
311000 - 0000;Intentionally Blank;;3;3;1;1;0;0;0;0;CAB
312000 - 0000;Intentionally Blank;;3;3;1;2;0;0;0;0;CAB
313000 - 0000;Intentionally Blank;;3;3;1;3;0;0;0;0;CAB
314000 - 0000;Intentionally Blank;;3;3;1;4;0;0;0;0;CAB
315000 - 0000;IFS Calibration Unit;ICU;3;3;1;5;0;0;0;0;CAB
315100 - 0000;ICU Uniform Source Assembly;IUSA;4;3;1;5;1;0;0;0;CAB
315110 - 0000;ICU Integrating Sphere;CM IIS;5;3;1;5;1;1;0;0;CAB
315111 - 0000;ICU Integrating Sphere Structure;CM IISS;6;3;1;5;1;1;1;0;CAB
315111 - 0001;ICU Integrating Sphere Temperature Sensor;CM ISTS;7;3;1;5;1;1;1;1;CAB
315112 - 0000;Integrating Sphere Detector;CM ISD;6;3;1;5;1;1;2;0;CAB
315113 - 0000;Variable Attenuator Ar;CM VA Ar;6;3;1;5;1;1;3;0;CAB
315113 - 0001;Variable Attenuator Iris Ar;CM VAI Ar;7;3;1;5;1;1;3;1;CAB
315113 - 0002;Variable Attenuators Stepper Motor Ar;CM VAM Ar;7;3;1;5;1;1;3;2;CAB
315113 - 0003;Variable Attenuators Encoder Ar;CM VAE Ar;7;3;1;5;1;1;3;3;CAB
315114 - 0000;Variable Attenuator Xe;CM VA Xe;6;3;1;5;1;1;4;0;CAB
315114 - 0001;Variable Attenuator Iris Xe;CM VAI Xe;7;3;1;5;1;1;4;1;CAB
315114 - 0002;Variable Attenuators Stepper Motor Xe;CM VAM Xe;7;3;1;5;1;1;4;2;CAB
315114 - 0003;Variable Attenuators Encoder Xe;CM VAE Xe;7;3;1;5;1;1;4;3;CAB
315115 - 0000;Variable Attenuator Kr;CM VA Kr;6;3;1;5;1;1;5;0;CAB
