'PBS level';'PBS number';'Is component';'Name from PBS/BoM';'Status of component selection';'Acronym (from PBS)';'Responsible institution';'Component type';'Field component';'Lab tool';'Supplier';'Manufacturer';'Part number (from manufacturer)';'Catalogue reference';'Cost unit (€)';'Cost status';'Mass (kg)';'Quantity';'Material';'Treatment';'Coating';'STEP link';'Budget';'Current (PS only) (A)';'Voltage DC (V)';'Voltage AC (V)';'Initialization - Power (W)';'Initialization - Current consumption (A)';'Stand-by - Power (W)';'Stand-by - Current consumption (A)';'Calibration - Power (W)';'Calibration - Current consumption (A)';'Observation - Power (W)';'Observation - Current consumption (A)';'Maintenance - Power (W)';'Maintenance - Current consumption (A)';'UPS Power - UPS required';'UPS Power - UPS required time (h)';'Heat dissipated (W)';'Heat load to air (W)';'Heat load to coolant (W)';'Skin temperature above environment (ºC)';'Cooling required';'Function';'Cable - Max length (m)';'Cable - Length (m)';'Cable - Outer diameter (m)';'Cable - Min dynamic bending radius (mm)';'Cable - Min static bending radius (mm)';'Cable - Mass density (kg/m)'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5101';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15882';'?';'?';'0.1';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7047';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15884';'?';'?';'0.090';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5101';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15882';'?';'?';'0.1';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2124';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15861';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2634';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15862';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3174-0002';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15868';'?';'?';'0.065';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2124';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15861';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3174-0002';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15868';'?';'?';'0.065';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2634';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15862';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3164';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15866';'?';'?';'0.065';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7411';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15886';'?';'?';'0.095';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC ';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5021';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15879';'?';'?';'0.055';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7411';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15886';'?';'?';'0.095';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5021';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15879';'?';'?';'0.055';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE ';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7411';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15886';'?';'?';'0.095';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5021';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15879';'?';'?';'0.055';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7411';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15886';'?';'?';'0.095';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5021';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15879';'?';'?';'0.055';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL7411';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15886';'?';'?';'0.095';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL5021';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15879';'?';'?';'0.055';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2124';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15861';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3174-0002';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15868';'?';'?';'0.065';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'PRELIMINARY';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL2124';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15861';'?';'?';'0.07';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3214';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15872';'?';'?';'0.06';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3214';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15872';'?';'?';'0.06';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'YES';'';'BASELINE';'';'IAC';'Electronic';'YES';'NO';'BECKHOFF';'BECKHOFF';'EL3214';'https://knuth.cab.inta-csic.es/harmoni/out/out.ViewDocument.php?documentid=15872';'?';'?';'0.06';'1';'Polycarbonate';'NO';'NO';'https://sileno.cab.inta-csic.es/dana/fb/smb/wfb.cgi?t=p&v=resource_1676966872.783843.2&si=&ri=&pi=&sb=name&so=asc&dir=HRM%20CAD%5CLibraries%5CElectronic%5CDrivers%5CBECKHOFF\IO%20Terminals';'';'NA';'24';'NA';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'NA';'';'NO';'Control';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'NO';'';'PRELIMINARY';'';'IAC';'Electrical';'YES';'NO';'';'';'';'';'';'';'';'1';'';'';'';'';'';'';'NA';'230';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'Power';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'NO';'';'PRELIMINARY';'';'IAC';'Electrical';'YES';'NO';'';'';'';'';'';'';'';'1';'';'';'';'';'';'';'NA';'230';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'Power';'NA';'NA';'NA';'NA';'NA';'NA'
'7';'';'NO';'';'PRELIMINARY';'';'IAC';'Electrical';'YES';'NO';'';'';'';'';'';'';'';'1';'';'';'';'';'';'';'NA';'230';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'Power';'NA';'NA';'NA';'NA';'NA';'NA'
